word,memory,syn,ant,type,day,def,syn_def,ant_def
Fertile,肥沃的。與植物生長有關,Productive,Barren,Elite,3,(of land etc) capable of growing abundant crops; productive,"Capable of producing something, especially in abundance; fertile.","An area of low fertility and habitation, a desolate place."
Rhyme,韻律。注意-hy-拼寫,Verse,Prose,Core,4,Rhyming verse (poetic form),A poetic form with regular meter and a fixed rhyme scheme.,"Language, particularly written language, not intended as poetry."
Gregarious,社交的,Social,Lonely,Elite,4,(of a person) Describing one who enjoys being in crowds and socializing.,A festive gathering to foster introductions.,Unhappy because of feeling isolated from contact with other people.
Tempestuous,狂暴的/劇烈的,Stormy,Calm,Elite,4,"Of, or resembling a tempest; stormy, tumultuous.",Of or pertaining to storms.,"(in a person) The state of being calm; peacefulness; absence of worry, anger, fear or other strong negative emotion."
Ambition,抱負/野心,Aspiration,Laziness,Core,4,"Eager or inordinate desire for some object that confers distinction, as preferment, honor, superiority, political power, or literary fame; desire to distinguish one's self from other people.","The act of aspiring or ardently desiring; an ardent wish or desire, chiefly after what is elevated or spiritual (with common adjunct adpositions being to and of).",The quality of being lazy
Enormous,巨大的,Huge,Tiny,Core,4,"Deviating from the norm; unusual, extraordinary.",Very large.,A small child; an infant.
Suggest,建議。雙G,Propose,Refuse,Core,5,To imply but stop short of saying explicitly.,An objective or aim.,"Collectively, items or material that have been discarded; rubbish, garbage."
Flee,逃跑。雙E,Escape,Stay,Core,5,To run away; to escape.,The act of leaving a dangerous or unpleasant situation.,Continuance or a period of time spent in a place; abode for an indefinite time; sojourn.
Dictionary,字典。-ary,Lexicon,,Core,5,"A reference work with a list of words from one or more languages, normally ordered alphabetically, explaining each word's meaning, and sometimes containing information on its etymology, pronunciation, usage, translations, and other data.",The vocabulary of a language.,
Virtuous,正直的/有道德的,Moral,Evil,Elite,5,"Full of virtue, having excellent moral character.",(of a narrative) The ethical significance or practical lesson.,Moral badness; wickedness; malevolence; the forces or behaviors that are the opposite or enemy of good.
Hereditary,遺傳,Genetic,Acquired,Elite,5,A hereditary ruler; a hereditary peer in the House of Lords.,Relating to genetics or genes.,To get.
Declare,宣佈/聲明,Announce,Hide,Core,6,"To make clear, explain, interpret.","To give public notice, especially for the first time; to make known",To put (something) in a place where it will be harder to discover or out of sight.
Inquisitive,好奇,Curious,Bored,Core,6,Eager to acquire knowledge.,"Tending to ask questions, or to want to explore or investigate; inquisitive; (with a negative connotation) nosy, prying.",To inspire boredom in somebody.
Elect,選舉/選擇,Choose,Reject,Core,6,One chosen or set apart.,To pick; to make the choice of; to select.,Something that is rejected.
Integrity,正直,Honesty,Deceit,Elite,6,Steadfast adherence to a strict moral or ethical code.,"The act, quality, or condition of being honest.",An act or practice intended to deceive; a trick.
Avowed,公開聲明的,Declared,Secret,Elite,6,"To declare openly and boldly, as something believed to be right; to own, acknowledge or confess frankly.","To make clear, explain, interpret.",A piece of knowledge that is hidden and intended to be kept hidden.
Develop,發展。末尾無-e,Grow,Stagnate,Core,7,"To change with a specific direction, progress.","To become larger, to increase in magnitude.","To cease motion, activity, or progress:"
Weary,疲憊的。注意不是 Wary,Tired,Fresh,Core,7,To make or to become weary.,To become sleepy or weary.,"A rush of water, along a river or onto the land; a flood."
Probably,大概/或許,Likely,Unlikely,Core,7,In all likelihood.,Something or somebody considered likely.,Something or somebody considered unlikely.
Tyrant,暴君/專制者,Dictator,Leader,Elite,7,"A usurper; one who gains power and rules extralegally, distinguished from kings elevated by election or succession.","A totalitarian leader of a country, nation, or government.",Any person that leads or directs
Meagre,貧乏的/不足的,Scant,Ample,Elite,7,"Argyrosomus regius, an edible fish of the family Sciaenidae.","Very little, very few.","Large; great in size, extent, capacity, or bulk; for example spacious, roomy or widely extended."
Union,聯盟/聯合,Alliance,Separation,Core,8,The act of uniting or joining two or more things into one.,The state of being allied.,"The act of disuniting two or more things, or the condition of being separated."
Refuse,拒絕/垃圾,Reject,Accept,Core,8,"Collectively, items or material that have been discarded; rubbish, garbage.",Something that is rejected.,"To receive, especially with a consent, with favour, or with approval."
Fatal,致命的。Fati (命運) 決定死亡,Deadly,Harmless,Core,8,A fatality; an event that leads to death.,Subject to death; mortal.,Incapable of causing harm or danger; safe.
Torment,折磨/痛苦,Agony,Comfort,Elite,8,A catapult or other kind of war-engine.,Extreme pain.,"Contentment, ease."
Despise,輕視/厭惡,Hate,Admire,Elite,8,To regard with contempt or scorn.,An object of hatred.,To be amazed at; to view with surprise; to marvel at.
Complex,複雜的,Intricate,Simple,Core,9,A network of interconnected systems.,Having a great deal of fine detail or complexity.,"A herbal preparation made from one plant, as opposed to something made from more than one plant."
Expectation,期待,Hope,,Core,9,The act or state of expecting or looking forward to an event as about to happen.,"To want something to happen, with a sense of expectation that it might.",
Colour,顏色。英式拼寫有 u,Hue,,Core,9,The spectral composition of visible light,"A color, or shade of color; tint; dye.",
Advantageous,有利。注意中間有-e-,Helpful,Hurtful,Elite,9,"Being of advantage, beneficial.",Furnishing help; giving aid; useful.,Tending to impair or damage; injurious; occasioning loss or injury.
Accumulate,累積。雙C,Collect,Scatter,Elite,9,To heap up in a mass; to pile up; to collect or bring together (either literally or figuratively),To gather together; amass.,The act of scattering or dispersing.
Neat,整潔的,Tidy,Messy,Core,10,"An artificial intelligence researcher who believes that solutions should be elegant, clear and provably correct. Compare scruffy.",A tabletop container for pens and stationery.,"(of a place, situation, person, etc) In a disorderly state; chaotic; disorderly."
Annual,雙N。Ann的生日是每年的,Yearly,Occasional,Core,10,"An annual publication; a book, periodical, journal, report, comic book, yearbook, etc., which is published serially once a year, which may or may not be in addition to regular weekly or monthly publication.",Something that is published once a year.,A person who does something only occasionally.
Muscle,肌肉。注意-sc-拼寫,Strength,Weakness,Core,10,A contractile form of tissue which animals use to effect movement.,The quality or degree of being strong.,The condition of being weak.
Ascend,上升。-sc-拼寫,Climb,Descend,Elite,10,"To move upward, to fly, to soar.",An act of climbing.,"To pass from a higher to a lower place; to move downwards; to come or go down in any way, for example by falling, flowing, walking, climbing etc."
Perilous,危險的,Dangerous,Safe,Elite,10,"Dangerous, full of peril.",Full of danger.,"A box, usually made of metal, in which valuables can be locked for safekeeping."
Ally,盟友。雙L,Partner,Enemy,Core,11,"A person, group, or state (etc) which is associated with another for a common cause; one united to another by treaty or common purpose; a confederate.",Someone who is associated with another in a common activity or interest.,"Someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else."
Attempt,嘗試/企圖,Try,Give up,Core,11,The action of trying at something.,An attempt.,To surrender (someone or something)
Liberal,自由的/慷慨的,Open,Narrow,Core,11,"One with liberal views, supporting individual liberty (see Wikipedia's article on Liberalism).",Not closed,"(chiefly in the plural) A narrow passage, especially a contracted part of a stream, lake, or sea; a strait connecting two bodies of water."
Architecture,建築學。注意-ch-音,Design,Destruction,Elite,11,"The art and science of designing and managing the construction of buildings and other structures, particularly if they are well proportioned and decorated.","A specification of an object or process, referring to requirements to be satisfied and thus conditions to be met for them to solve a problem.",The act of destroying.
Inference,推斷,Deduction,Fact,Elite,11,The act or process of inferring by deduction or induction.,That which is deducted; that which is subtracted or removed,Something actual as opposed to invented.
Employ,僱用/使用,Hire,Fire,Core,12,The state of being an employee; employment.,Payment for the temporary use of something.,"A (usually self-sustaining) chemical reaction involving the bonding of oxygen with carbon or other fuel, with the production of heat and the presence of flame or smouldering."
Absence,缺席。注意-sc-拼寫,Lack,Presence,Core,12,A state of being away or withdrawn from a place or from companionship; the period of being away.,A defect or failing; moral or spiritual degeneracy.,"The fact or condition of being present, or of being within sight or call, or at hand."
Foe,敵人/仇敵,Enemy,Ally,Core,12,An enemy.,"Someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else.","A person, group, or state (etc) which is associated with another for a common cause; one united to another by treaty or common purpose; a confederate."
Condemn,譴責/宣判。末尾有 n,Criticise,Praise,Elite,12,To strongly criticise or denounce; to excoriate the perpetrators of.,To find fault (with something).,Commendation; favourable representation in words
Relevant,相關。注意字尾-ant,Related,Useless,Elite,12,"Directly related, connected, or pertinent to a topic.",To tell in a descriptive way.,Without use or possibility to be used.
Assistance,幫助。雙S -ance,Help,Hinder,Core,13,Aid; help; the act or result of assisting.,Action given to provide assistance; aid.,To make difficult to accomplish; to act as an obstacle; to frustrate.
Cultivate,耕種/培養,Grow,Destroy,Core,13,"To grow plants, notably crops","To become larger, to increase in magnitude.",To damage beyond use or repair.
Slope,斜坡,Incline,Flat,Core,13,An area of ground that tends evenly upward or downward.,A slope.,An area of level ground.
Orthodontist,牙齒矯正醫師,Dentist,,Elite,13,An orthodontic dentist,A medical doctor who specializes in dentistry.,
Adversity,逆境,Hardship,Fortune,Elite,13,The state of adverse conditions; state of misfortune or calamity.,Difficulty or trouble; hard times.,"Destiny, especially favorable."
Interrupt,打斷。雙R,Disrupt,Continue,Core,14,An event that causes a computer or other device to temporarily cease what it was doing and attend to a condition.,To throw into confusion or disorder.,"An option allowing a gamer to resume play after game over, when all lives have been lost."
Library,圖書館。注意有兩個-r-,,,Core,14,"An institution which holds books and/or other forms of media for use by the public or qualified people often lending them out, as well as providing various other services for its users.",,
Apparent,看似明顯但注意字尾-ent,Obvious,Hidden,Core,14,"Capable of being seen, or easily seen; open to view; visible to the eye, eyely; within sight or view.","Easily discovered, seen, or understood; self-explanatory.",Located or positioned out of sight; not visually apparent.
Conceited,自負的/驕傲的,Vain,Humble,Elite,14,"Having an excessively favorable opinion of one's abilities, appearance, etc.; vain and egotistical.","Overly proud of oneself, especially concerning appearance; having a high opinion of one's own accomplishments with slight reason.",(Baltimore) An arrest based on weak evidence intended to demean or punish the subject.
Sacrifice,犧牲。注意-cri-拼寫,Offer,Keep,Elite,14,The offering of anything to a god; a consecratory rite.,A proposal that has been made.,"The main tower of a castle or fortress, located within the castle walls."
Thrust,猛推/刺,Push,Pull,Core,15,An attack made by moving the sword parallel to its length and landing with the point.,"A short, directed application of force; an act of pushing.",An act of pulling (applying force)
Stoop,彎腰/屈尊,Bend,Rise,Core,15,The staircase and landing or porch leading to the entrance of a residence.,A curve.,"To move, or appear to move, physically upwards relative to the ground."
Accomplish,完成。雙C雙L,Achieve,Fail,Core,15,To finish successfully.,"To succeed in something, now especially in academic performance.",Poor quality; substandard workmanship.
Vehicle,交通工具。注意-h-不發音,Transport,Pedestrian,Elite,15,"A conveyance; a device for carrying or transporting substances, objects or individuals.",An act of transporting; conveyance.,"A walker; one who walks or goes on foot, especially as opposed to one who uses a vehicle."
Twelfth,第十二。注意中間有-f-,Numeric,Last,Elite,15,One of twelve equal parts of a whole.,"Any number, proper or improper fraction, or incommensurable ratio.","Final, ultimate, coming after all others of its kind."
Convenience,方便。-ience,Comfort,Difficulty,Core,16,The quality of being convenient.,"Contentment, ease.","The state of being difficult, or hard to do."
Mysterious,神秘的。注意-y-拼寫,Strange,Plain,Core,16,Of unknown origin.,Vagina,"Flat, level."
Argument,爭論。注意中間沒有 e,Dispute,Agreement,Core,16,A fact or statement used to support a proposition; a reason.,"An argument or disagreement, a failure to agree.",An understanding between entities to follow a specific course of conduct.
Artful,狡猾的/巧妙的,Cunning,Simple,Elite,16,Cunning; tending toward indirect dealings; crafty.,Sly; crafty; clever in surreptitious behaviour.,"A herbal preparation made from one plant, as opposed to something made from more than one plant."
Perceive,察覺。e在i前,Notice,Ignore,Elite,16,"To become aware of, through the physical senses or by thinking; to see; to understand.",The act of observing; perception.,To deliberately not listen or pay attention to.
Leisure,休閒。注意-ei-拼寫,Relax,Work,Core,17,Freedom provided by the cessation of activities.,To calm down.,(heading) Employment.
Attached,附帶的/依戀的,Connected,Detached,Core,17,"To fasten, to join to (literally and figuratively).","(of an object) To join (to another object): to attach, or to be intended to attach or capable of attaching, to another object.",To take apart from; to take off.
Equipped,裝備。雙P,Fitted,Unprepared,Core,17,"To supply with something necessary in order to carry out a specific action or task; to provide with (e.g. weapons, provisions, munitions, rigging)",To be suitable for.,A black mark given to a pupil who arrives at a lesson without the necessary items or preparation.
Equanimity,平靜,Calm,Agitation,Elite,17,"The state of being calm, stable and composed, especially under stress.","(in a person) The state of being calm; peacefulness; absence of worry, anger, fear or other strong negative emotion.","The act of agitating, or the state of being agitated; the state of being moved with violence, or with irregular action; commotion."
Turbulent,動盪的/混亂的,Stormy,Calm,Elite,17,"Violently disturbed or agitated; tempestuous, tumultuous",Of or pertaining to storms.,"(in a person) The state of being calm; peacefulness; absence of worry, anger, fear or other strong negative emotion."
Accustom,習慣於。雙C拼寫,Adapt,Unused,Core,18,make psychologically or physically used (to something),To make suitable; to make to correspond; to fit or suit,Not used.
Gratitude,感激。Grateful的名詞,Thanks,Ingratitude,Core,18,The state of being grateful.,An expression of appreciation; a thought.,A lack or absence of gratitude; thanklessness.
Vessel,船隻/容器。雙S,Ship,,Core,18,"Any craft designed for transportation on water, such as a ship or boat.",A water-borne vessel generally larger than a boat.,
Prejudice,偏見。注意-dice字尾,Bias,Fairness,Elite,18,An adverse judgment or opinion formed beforehand or without knowledge of the facts.,"Inclination towards something; predisposition, partiality, prejudice, preference, predilection.",The property of being fair or equitable.
Debrief,盤問/彙報,Question,Ignore,Elite,18,To question someone after a military mission in order to obtain intelligence.,"A sentence, phrase or word which asks for information, reply or response; an interrogative.",To deliberately not listen or pay attention to.
Fragment,碎片/片段,Piece,Whole,Core,19,"A part broken off; a small, detached portion; an imperfect part, either physically or not","A part of a larger whole, usually in such a form that it is able to be separated from other parts.","Something complete, without any parts missing."
Origin,起源/出身,Source,End,Core,19,The beginning of something.,"The person, place or thing from which something (information, goods, etc.) comes or is acquired.",The terminal point of something in space or time.
Prosperous,繁榮的,Wealthy,Poor,Core,19,Characterized by success,A rich person.,"(with ""the"") Those who have little or no possessions or money, taken as a group."
Embarrass,尷尬。雙R雙S,Abash,Comfort,Elite,19,To humiliate; to disrupt somebody's composure or comfort with acting publicly or freely; to disconcert; to abash,"To make ashamed; to embarrass; to destroy the self-possession of, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to disconcert; to discomfit.","Contentment, ease."
Authentic,真實的,Real,FALSE,Elite,19,Of the same origin as claimed; genuine.,A commodity; see realty.,One of two options on a true-or-false test.
Lodge,存放/小屋/旅館,Stay,Leave,Core,20,A building for recreational use such as a hunting lodge or a summer cabin.,Continuance or a period of time spent in a place; abode for an indefinite time; sojourn.,To have a consequence or remnant.
Distress,痛苦/危難,Suffering,Comfort,Core,20,(Cause of) discomfort.,To undergo hardship.,"Contentment, ease."
Matte,無光的/啞色的,Dull,Shiny,Core,20,A decorative border around a picture used to inset and center the contents of a frame.,To render dull; to remove or blunt an edge or something that was sharp.,Anything shiny; a trinket.
Benevolent,仁慈的。Ben=好,Kind,Malevolent,Elite,20,Having a disposition to do good.,"A type, race or category; a group of entities that have common characteristics such that they may be grouped together.",Having or displaying ill will; wishing harm on others
Repent,後悔/懺悔,Regret,Celebrate,Elite,20,"To feel pain, sorrow, or regret for what one has done or omitted to do; the cause for repenting may be indicated with ""of"".","Emotional pain on account of something done or experienced in the past, with a wish that it had been different; a looking back with dissatisfaction or with longing.",To extol or honour in a solemn manner.
Because,因為。拼寫容易錯,Since,,Core,21,For the reason (that).,From a specified time in the past.,
Stomach,胃。ch 發 k 音,Belly,,Core,21,An organ in animals that stores food in the process of digestion.,"The abdomen, especially a fat one.",
Across,橫過。只有一個 C,Crosswise,Along,Core,21,"(crosswords, often in combination) A word that runs horizontally in the completed puzzle grid or its associated clue.",Crossing; lying across,In company; together.
Deprive,剝奪,Take,Give,Elite,21,To take something away from (someone) and keep it away; to deny someone something.,The or an act of taking.,The amount of bending that something undergoes when a force is applied to it; a tendency to yield under pressure; resilence.
Apprehensive,憂慮的/恐懼的,Anxious,Confident,Elite,21,Anticipating something with anxiety or fear.,Nervous and worried.,A person in whom one can confide or share one's secrets: a friend.
Adopt,領養/採納,Take in,Reject,Core,22,"To take by choice into relationship (a child, heir, friend, citizen, etc.)",To absorb or comprehend.,Something that is rejected.
Score,得分/二十個,Result,,Core,22,"The total number of goals, points, runs, etc. earned by a participant in a game.","That which results; the conclusion or end to which any course or condition of things leads, or which is obtained by any process or operation; consequence or effect.",
Roam,漫遊/閒逛,Wander,Stay,Core,22,To wander or travel freely and with no specific destination.,The act or instance of wandering.,Continuance or a period of time spent in a place; abode for an indefinite time; sojourn.
Subterfuge,藉口/託辭,Trickery,Honesty,Elite,22,An indirect or deceptive device or stratagem; a blind. Refers especially to war and diplomatics.,Deception or underhanded behavior.,"The act, quality, or condition of being honest."
Rogue,惡棍/流氓,Villain,Hero,Elite,22,"A scoundrel, rascal or unprincipled, deceitful, and unreliable person.","A vile, wicked person.",Somebody who possesses great bravery and carries out extraordinary or noble deeds.
Reprimand,訓斥/斥責,Scold,Praise,Elite,23,"A severe, formal or official reproof; reprehension, rebuke, private or public.",To burn with hot liquid.,Commendation; favourable representation in words
Permit,允許,Allow,Forbid,Core,23,An artifact or document rendering something allowed or legal.,"To grant, give, admit, accord, afford, or yield; to let one have.",To disallow; to proscribe.
Shrink,收縮/縮水,Contract,Expand,Core,23,Shrinkage; contraction; recoil.,"An agreement between two or more parties, to perform a specific job or work order, often temporary or of fixed duration and usually governed by a written agreement.",To change (something) from a smaller form and/or size to a larger one; to spread out or lay open.
Efficient,有效率。雙F,Effective,Lazy,Core,23,A cause; something that causes an effect,A soldier fit for duty,A lazy person.
Nauseous,噁心的。注意-se-ous,Sick,Healthy,Elite,23,Causing nausea; sickening or disgusting.,Sick people in general as a group.,"Enjoying health and vigor of body, mind, or spirit: well."
Quench,解渴/熄滅,Satisfy,,Core,24,"The abnormal termination of operation of a superconducting magnet, occurring when part of the superconducting coil enters the normal (resistive) state.",To do enough for; to meet the needs of; to fulfill the wishes or requirements of.,
Peak,頂峰。與Peek(偷看)同音,Summit,Bottom,Core,24,"A point; the sharp end or top of anything that terminates in a point; as, the peak, or front, of a cap.","A peak; the topmost point or surface, as of a mountain.",The lowest part of anything.
Demolished,拆除/毀壞,Destroyed,Built,Core,24,To destroy.,To damage beyond use or repair.,To form (something) by combining materials or parts.
Quell,鎮壓/平息。雙L,Quiet,Stir,Elite,24,A subduing.,The absence of sound; quietness.,The act or result of stirring (moving around the particles of a liquid etc.)
Casualty,傷亡,Victim,Survivor,Elite,24,"Something that happens by chance, especially an unfortunate event; an accident, a disaster.","One that is harmed—killed, injured, subjected to oppression, deceived, or otherwise adversely affected—by someone or something, especially another person or event, force, or condition; in particular:","One who survives, especially one who survives a traumatic experience."
Contest,比賽/爭論,Competition,Agreement,Core,25,Controversy; debate.,The action of competing.,An understanding between entities to follow a specific course of conduct.
Seldom,很少/不常,Rarely,Often,Core,25,Rare; infrequent.,Not occurring at a regular interval; seldom; not often.,Frequent.
Beautiful,美麗的。注意 -eau- 拼寫,Lovely,Ugly,Core,25,Someone who is beautiful. Can be used as a term of address.,"An attractive, lovely person, especially a (professional) beauty.",Ugliness.
Fallacy,謬誤,Error,Truth,Elite,25,Deceptive or false appearance; that which misleads the eye or the mind.,"The state, quality, or condition of being wrong.","True facts, genuine depiction or statements of reality."
Curt,簡短而失禮的,Abrupt,Polite,Elite,25,"To cut, cut short, shorten.",Something which is abrupt; an abyss.,To polish; to refine; to render polite.
Extended,延伸的/長期的,Long,Short,Core,26,To increase in extent.,A long vowel.,A short circuit.
Receive,收到。e在i前,Get,Send,Core,26,An operation in which data is received.,Offspring.,"The rising motion of water as a wave passes; a surge; the upward angular displacement of a vessel, opposed to pitch, the correlative downward movement."
Grave,嚴重的/墳墓,Serious,Trivial,Core,26,An excavation in the earth as a place of burial,Without humor or expression of happiness; grave in manner or disposition,Any of the three liberal arts forming the trivium.
Scanty,缺乏的/不足的,Meagre,Ample,Elite,26,Somewhat less than is needed in amplitude or extent.,"Argyrosomus regius, an edible fish of the family Sciaenidae.","Large; great in size, extent, capacity, or bulk; for example spacious, roomy or widely extended."
Unsurpassed,卓越的/無比的,Best,Worst,Elite,26,Surpassing all others in some way,"The supreme effort one can make, or has made.",Unfavorable; negative; not good.
Rank,等級/繁茂的,Level,,Core,27,Strong of its kind or in character; unmitigated; virulent; thorough; utter (used of negative things).,"A tool for finding whether a surface is level, or for creating a horizontal or vertical line of reference.",
Empire,帝國,Kingdom,,Core,27,(furniture) Following or imitating a style popular during the First French Empire (1804–1814).,A realm having a king and/or queen as its actual or nominal sovereign.,
Pledge,保證/誓言,Promise,,Core,27,A solemn promise to do something.,An oath or affirmation; a vow,
Conventional,傳統的/常規的,Traditional,Unusual,Elite,27,"A conventional gilt-edged security, a kind of bond paying the holder a fixed cash payment (or coupon) every six months until maturity, at which point the holder receives the final payment and the return of the principal.",A person with traditional beliefs.,Something that is unusual; an anomaly.
Plausible,合理,Likely,Absurd,Elite,27,"Seemingly or apparently valid, likely, or acceptable; conceivably true or likely",Something or somebody considered likely.,An absurdity.
Despair,絕望,Hopelessness,Hope,Core,28,Loss of hope; utter hopelessness; complete despondency.,The lack of hope; despair,"To want something to happen, with a sense of expectation that it might."
Avoid,避免,Shun,Face,Core,28,To try not to meet or communicate with (a person); to shun,"To avoid, especially persistently.","The front part of the head of a human or other animal, featuring the eyes, nose and mouth, and the surrounding area."
Competition,競爭。注意中間的 e,Contest,,Core,28,The action of competing.,Controversy; debate.,
Harass,一R雙S。騷擾,Annoy,Assist,Elite,28,Devastation; waste,A feeling of discomfort or vexation caused by what one dislikes.,A helpful action or an act of giving.
Inaugural,就職的/開幕的,Opening,Final,Elite,28,An inauguration; a formal beginning.,To make something accessible or allow for passage by moving from a shut position.,A final examination; a test or examination given at the end of a term or class; the test that concludes a class.
Estimate,估計/估價,Guess,,Core,29,"A rough calculation or assessment of the value, size, or cost of something.",To reach a partly (or totally) unqualified conclusion.,
Bruise,瘀青。-ui-拼寫,Contusion,Heal,Core,29,A purplish mark on the skin due to leakage of blood from capillaries under the surface that have been damaged by a blow.,"A wound, such as a bruise, in which the skin is not broken, often having broken blood vessels and discolouration.",A spell or ability that restores hit points or removes a status ailment.
Convict,囚犯/宣判有罪,Prisoner,Acquit,Core,29,A person convicted of a crime by a judicial body.,"A person incarcerated in a prison, while on trial or serving a sentence.",To declare or find innocent or not guilty.
Tranquil,平靜的/安寧的,Peaceful,Noisy,Elite,29,Free from emotional or mental disturbance.,Not at war or disturbed by strife or turmoil.,"Making a noise, especially a loud unpleasant sound"
Robust,強壯的/結實的,Strong,Weak,Elite,29,Evincing strength and health; strong.,Capable of producing great physical force.,Lacking in force (usually strength) or ability.
Dose,劑量/一劑,Amount,,Core,30,a measured portion of medicine taken at any one time,"The total, aggregate or sum of material (not applicable to discrete numbers or units or items in standard English).",
Sermon,佈道/說教,Speech,,Core,30,Religious discourse; a written or spoken address on a religious or moral matter.,The faculty of uttering articulate sounds or words; the ability to speak or to use vocalizations to communicate.,
Foreign,外國。注意-e-在-i-前,Alien,Native,Core,30,"A foreign person, particularly:",Any life form of extraterrestrial or extradimensional origin.,An aboriginal inhabitant of a region colonized by English-speaking people; in particular:
Devastate,破壞,Destroy,Build,Elite,30,"To ruin many or all things over a large area, such as most or all buildings of a city, or cities of a region, or trees of a forest.",To damage beyond use or repair.,The physique of a human body; constitution or structure of a human body.
Aspiration,抱負,Ambition,Apathy,Elite,30,"The act of aspiring or ardently desiring; an ardent wish or desire, chiefly after what is elevated or spiritual (with common adjunct adpositions being to and of).","Eager or inordinate desire for some object that confers distinction, as preferment, honor, superiority, political power, or literary fame; desire to distinguish one's self from other people.",Lack of emotion or motivation; lack of interest or enthusiasm towards something; disinterest (in something).
Release,釋放/發布,Free,Hold,Core,31,"The event of setting (someone or something) free (e.g. hostages, slaves, prisoners, caged animals, hooked or stuck mechanisms).",Free transfer,A grasp or grip.
Perish,腐爛/死亡,Die,Survive,Core,31,To decay and disappear; to waste away to nothing.,To stop living; to become dead; to undergo death.,"Of a person, to continue to live; to remain alive."
Prompt,迅速的/提醒,Quick,Slow,Core,31,A reminder or cue.,"Raw or sensitive flesh, especially that underneath finger and toe nails.",Someone who is slow; a sluggard.
Cemetery,墓地。全是-e-的土地,Graveyard,Cradle,Elite,31,A place where the dead are buried; a graveyard or memorial park.,A tract of land in which the dead are buried.,"A bed or cot for a baby, oscillating on rockers or swinging on pivots."
Nimble,敏捷的/伶俐的,Agile,Clumsy,Elite,31,Adept at taking or grasping,Having the faculty of quick motion in the limbs; apt or ready to move,A clumsy person.
Liberty,自由,Freedom,Slavery,Core,32,The condition of being free from control or restrictions.,"The state of being free, of not being imprisoned or enslaved.","An institution or social practice of owning human beings as property, especially for use as forced laborers."
Bargain,gain (得到) 了便宜貨,Deal,Overprice,Core,32,"An agreement between parties concerning the sale of property; or a contract by which one party binds himself to transfer the right to some property for a consideration, and the other party binds himself to receive the property and pay the consideration.","A division, a portion, a share.",To give a commodity an excessive price.
Doubt,懷疑。b不發音,Uncertainty,Trust,Core,32,Disbelief or uncertainty (about something); a particular instance of such disbelief or uncertainty.,Doubt; the condition of being uncertain or without conviction.,Confidence in or reliance on some person or quality.
Camouflage,偽裝。-ou-拼寫,Disguise,Reveal,Elite,32,A disguise or covering up.,"Material (such as clothing, makeup, a wig) used to alter one’s visual appearance in order to hide one's identity or assume another.",The outer side of a window or door frame; the jamb.
